code	Articles	tag_1	tag_2	tag_3	tag_4	tag_5	tag_6	tag_7
9100	R1423-14; R1423-15; R1423-16; R1423-17; R1423-18; R1423-19; R1423-20; R1423-21; R1423-22; L1423-3; L1423-4; L1423-5; L1423-6; L1423-7; R1423-11; R1423-12; R1423-13	Contrat de travail	Conseil de prudhommes (CPH)	Institution, organisation, fonctionnement	Président et vice-président			
9200	R1423-1; R1423-2; R1423-3; R1423-6; R1423-7; R1423-4; R1423-5; L1423-1; L1423-1-1; L1423-1-2; L1423-2	Contrat de travail	Conseil de prudhommes (CPH)	Institution, organisation, fonctionnement	Sections			
9300	L1423-16	Contrat de travail	Conseil de prudhommes (CPH)	Institution, organisation, fonctionnement	Texte prévoyant un décret			
9400	R1523-1; R1523-2; R1523-3; R1523-4; R1523-5; R1523-6; L1523-1	Contrat de travail	Conseil de prudhommes (CPH)	Outre-mer	DOM, Saint Barthélemy, Saint-Martin, St Pierre et Miquelon			
9500	L1471-1	Contrat de travail	Conseil de prudhommes (CPH)	Prescription	Prescription actions en justice			
9600	L1453-1; L1453-2; L1453-3; L1453-4; R1453-1; R1453-2; R1453-4; R1453-5; R1453-3	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Assistance, représentation des parties			
9700	R1456-3; R1456-4	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Bureau de conciliation			
9900	R1454-7; R1454-8; R1454-9; R1454-10; R1454-11; R1454-12; R1454-13; R1454-14; R1454-15; R1454-16; R1454-17; R1454-18	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Conciliation			
10100	L1454-2; L1454-3; L1454-4; R1454-29; R1454-30; R1454-31; R1454-32	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Dispositions applicables			
10000	R1451-1	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Départage			
10200	R1451-2	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Exceptions de procédure			
10300	R1456-5	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Jonction de procédure licenciement économique			
10400	R1454-19; R1454-20; R1454-21; R1454-22; R1454-23; R1454-24; R1454-25; R1454-26; R1454-27; R1454-28; R1454-19-1; R1454-19-2; R1454-19-3; R1454-19-4	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Jugement			
10500	L1456-1	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Litiges licenciement économique			
10600	L1454-1; R1454-1; R1454-2; R1454-3; R1454-4; R1454-5; R1454-6; L1454-1-1; L1454-1-2; L1454-1-3	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Mise en état affaire			
10700	L1462-1	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Pourvoi en cassation			
10800	R1456-1	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Recours licenciement économique			
10900	L1451-1	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Rupture initiative salarié			
11000	R1457-2; L1457-1; R1457-1	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Récusation			
11100	R1455-1; R1455-2; R1455-3; R1455-4; R1455-5; R1455-6; R1455-7; R1455-8; R1455-9; R1455-10; R1455-11; R1455-12	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Référé			
11200	R1452-1; R1452-2; R1452-3; R1452-4; R1452-5; R1452-6	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Saisine du conseil de prudhommes (CPH)			
11300	L1454-5	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Stagiaires			
11400	R1456-2	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Séance de conciliation			
11500	R1451-3	Contrat de travail	Conseil de prudhommes (CPH)	Procédure	Tribunal instance			
11600	R1461-1; R1461-2; R1462-1; R1462-2; R1463-1; Annexe Tableau; R1471-1; R1471-2; D1462-3	Contrat de travail	Conseil de prudhommes (CPH)	Voies de recours	Voies de recours			
11700	L1222-5; D1222-1; L1222-1; L1222-3; L1222-2; L1222-4	Contrat de travail	Contrat: exécution, modification, transfert	Exécution, modification	Exécution du contrat			
11800	L1222-12; L1222-13; L1222-14; L1222-15; L1222-16; L1222-6	Contrat de travail	Contrat: exécution, modification, transfert	Exécution, modification	Modification du contrat			
11900	L1531-1; L1531-2; L1531-3	Contrat de travail	Contrat: exécution, modification, transfert	Outre - mer	Mayotte, Wallis et FUTUNA, Terres australes et antarctiques			
11950	L1524-1; L1524-2; L1524-3; L1524-4; L1524-5; L1524-6; L1524-7; L1524-8; L1524-9; L1524-10; L1524-11	Contrat de travail	Contrat: exécution, modification, transfert	Outre - mer	Mayotte, Wallis et FUTUNA, Terres australes et antarctiques	Mayotte		
12000	L1227-1	Contrat de travail	Contrat: exécution, modification, transfert	Pénal	Pénal			
12100	L1224-1; L1224-3; L1224-3-2; L1224-2; L1224-3-1; L1224-4	Contrat de travail	Contrat: exécution, modification, transfert	Transfert du contrat	Transfert du contrat			
12200	L1222-11; L1222-9; L1222-10	Contrat de travail	Contrat: exécution, modification, transfert	Télétravail	Télétravail			
12300	D1273-9	Contrat de travail	Contrats divers	Chèques et titres simplifiés				
12400	D1271-28; D1271-29; D1271-30; D1271-31; L1271-14; L1271-5; L1271-16; L1271-10; L1271-15; L1271-2; D1271-1; D1271-2; D1271-3; D1271-4; D1271-5; D1271-5-1; L1271-11; L1271-6; L1271-8; L1271-7; L1271-12; L1271-4; L1271-17; L1271-13; L1271-15-1; D1271-6; D1271-7; L1271-1	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque Emploi Service Universel (CESU)			
12404	L1271-1; D1271-1	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque Emploi Service Universel (CESU)	Objet et modalités	Définition et mentions	
12408	L1271-2	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque Emploi Service Universel (CESU)	Objet et modalités	(abrogé au 1/1/19) déclaration via le cesu	
12412	L1271-4	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque Emploi Service Universel (CESU)	Objet et modalités	CESU et rémunération	
12416	L1271-5	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque Emploi Service Universel (CESU)	Objet et modalités	cas où le CESU vaut contrat de travail écrit	
12420	L1271-6	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque Emploi Service Universel (CESU)	Objet et modalités	pas un moyen exclusif de paiment	
12424	L1271-7	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque Emploi Service Universel (CESU)	Objet et modalités	paiement de prestaions sociales	
12428	L1271-8	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque Emploi Service Universel (CESU)	Objet et modalités	personnes morales de droit public	
12432	L1271-10; L1271-11	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque Emploi Service Universel (CESU)	Dispositions financières	titre spécial de paiment : émission	
12436	L1271-12	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque Emploi Service Universel (CESU)	Dispositions financières	titre spécial de paiment : nominatif	
12440	L1271-13	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque Emploi Service Universel (CESU)	Dispositions financières	titre spécial de paiment : préfinancé	
12444	L1271-14	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque Emploi Service Universel (CESU)	Dispositions financières	titre spécial de paiment : caractéristiques	
12448	L1271-15	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque Emploi Service Universel (CESU)	Dispositions financières	remboursable ou encaissable : conditions	
12452	L1271-15-1	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque Emploi Service Universel (CESU)	Dispositions financières	condition du remboursement	
12456	L1271-16	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque Emploi Service Universel (CESU)	Contrôles		
12460	D1271-2; D1271-3; D1271-4; D1271-5; D1271-5-1; D1271-6; D1271-7; D1271-28; D1271-29; D1271-30; D1271-31	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque Emploi Service Universel (CESU)	décrets et modalités d'application		
12500	D1272-1; D1272-2; D1272-5; R1272-4; D1272-7; D1272-8; D1272-9; D1272-3; L1272-4; D1272-10; D1272-6	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Chèque emploi associatif			
12600	D1273-1; D1273-2; D1273-6-1; D1273-5; D1273-8; D1271-33; D1273-7; D1273-4; D1273-3; D1273-6; L1273-6; L1273-5; L1273-3	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Titre Emploi Service Entreprise (TESE)			
12700	R1271-26; R1271-27; R1271-32; R1271-8; R1271-9; R1271-10; R1271-11; R1271-12; R1271-13; R1271-14; R1271-15; R1271-16; R1271-17; R1271-18; R1271-19; R1271-20; R1271-21; R1271-22; R1271-23; R1271-24; R1271-25	Contrat de travail	Contrats divers	Chèques et titres simplifiés	Titre emploi simplifié (TES)			
12800	L1223-9; L1223-8; L1236-8; L1236-9	Contrat de travail	Contrats divers	Contrat de chantier ou d'opération	Contrat de chantier ou d'opération			
12900	L1223-5; L1223-6; L1223-7; L1236-7	Contrat de travail	Contrats divers	Contrat de mission à l'exportation	Contrat exportation			
13000	L1252-8; L1252-5; L1252-7; L1252-9; L1252-6; L1252-4	Contrat de travail	Contrats divers	Contrat de travail à temps partagé	Contrat de Travail			
13100	L1252-11; L1252-10; L1252-13; L1252-12	Contrat de travail	Contrats divers	Contrat de travail à temps partagé	Contrat mise dispo, entreprise Temps partagé			
13200	L1252-2; L1252-3; L1252-1	Contrat de travail	Contrats divers	Contrat de travail à temps partagé	Définitions			
13300	L1253-16	Contrat de travail	Contrats divers	Groupement Employeur même convention Collective	Actions en justice			
13400	L1253-11; L1253-14; L1253-9; L1253-10; L1253-15; L1253-13; L1253-12	Contrat de travail	Contrats divers	Groupement Employeur même convention Collective	Conditions d'emploi, travail			
13500	L1253-3; L1253-8-1; L1253-2; L1253-7; D1253-2; R1255-9; R1255-8; D1253-1; D1253-3; L1253-6; L1253-8	Contrat de travail	Contrats divers	Groupement Employeur même convention Collective	Constitution, adhésion			
13600	L1253-1	Contrat de travail	Contrats divers	Groupement Employeur même convention Collective	Objet			
13700	L1255-13	Contrat de travail	Contrats divers	Groupement Employeur même convention Collective	Pénal			
13800	D1253-4; D1253-5; D1253-6	Contrat de travail	Contrats divers	Groupement Employeur pas même convention Collective	Déclaration			
13900	D1253-7; D1253-8; D1253-9; D1253-10; D1253-11	Contrat de travail	Contrats divers	Groupement Employeur pas même convention Collective	Opposition			
14000	L1253-17	Contrat de travail	Contrats divers	Groupement Employeur pas même convention Collective	Principes			
14100	R1253-12; R1253-13	Contrat de travail	Contrats divers	Groupement Employeur pas même convention Collective	Recours administratif			
14200	L1253-18	Contrat de travail	Contrats divers	Groupement Employeur pas même convention Collective	Textes applicables			
14300	R1253-38; R1253-39; R1253-40; R1253-41; R1253-42	Contrat de travail	Contrats divers	Groupement Employeurs sociétés coopératives	Conditions d'emploi et de travail			
14400	R1253-35; R1253-36; R1253-37	Contrat de travail	Contrats divers	Groupement Employeurs sociétés coopératives	Constitution			
14500	D1253-45; D1253-46; D1253-47; D1253-48; D1253-49; D1253-50; D1253-51; D1253-52	Contrat de travail	Contrats divers	Groupement d'employeurs				
14600	R1253-19; R1253-20; R1253-21; R1253-22; R1253-23; R1253-24; R1253-25; R1253-26; R1253-30; R1253-31; R1253-32; R1253-33; R1253-27; R1253-28; R1253-29	Contrat de travail	Contrats divers	Groupement employeur certains remplacements	Agrément			
14700	R1253-34	Contrat de travail	Contrats divers	Groupement employeur certains remplacements	Contrats de travail			
14800	R1253-14; R1253-15; R1253-16; R1253-17; R1253-18	Contrat de travail	Contrats divers	Groupement employeur certains remplacements	Objet, adhésion			
14900	L1253-19; L1253-23; R1253-44; L1253-22; R1253-43; L1253-24; L1253-21; L1253-20	Contrat de travail	Contrats divers	Groupement employeur de droit privé, collectivité Territoriale	Groupement employeur de droit privé, collectivité territoriales			
15000	L1522-1; L1521-1; L1521-3; L1521-4; L1521-2; L1521-2-1; L1521-2-2; L1522-2; R1522-15; R1522-16; R1522-17; L1522-3; L1522-4; R1522-1; R1522-2; R1522-3; R1522-4; R1522-5; R1522-6; R1522-7; R1522-8; R1522-9; R1522-10; R1522-11; R1522-12; R1522-13; R1522-14	Contrat de travail	Contrats divers	Outre - mer	DOM, Saint Barthélemy, Saint - Martin, St Pierre et Miquelon			
15100	L1511-1	Contrat de travail	Contrats divers	Outre - mer	Dispositions générales			
15200	R1254-3; R1254-4; D1254-1; R1254-5; R1254-2; L1255-14; L1255-15; L1255-16; L1255-17; L1255-18	Contrat de travail	Contrats divers	Portage	Portage			
15300	L1333-3	Contrat de travail	Droit Disciplinaire	Contrôle juridictionnel	Cas du licenciement			
15400	L1333-2	Contrat de travail	Droit Disciplinaire	Contrôle juridictionnel	Cas possibles d'annulation de la sanction			
15500	L1333-1	Contrat de travail	Droit Disciplinaire	Contrôle juridictionnel	Rôle du conseil de prudhommes (CPH), charge de la preuve			
15700	R1332-4	Contrat de travail	Droit Disciplinaire	Procédure disciplinaire: prescription	Délai pour engager des poursuites			
15800	L1332-5	Contrat de travail	Droit Disciplinaire	Procédure disciplinaire: prescription	Invocation d'une sanction antérieur			
15900	L1334-1	Contrat de travail	Droit Disciplinaire	Procédure disciplinaire: pénal	Si amende ou sanction pécuniaire			
15600	L1332-4	Contrat de travail	Droit Disciplinaire	Pénal	Si amende ou sanction pécuniaire			
3400	L1221-16; L1221-17; R1221-32; R1221-33; R1221-34; R1221-35; L1221-18	Contrat de travail	Embauche	Autres formalités				
2400	R1221-12	Contrat de travail	Embauche	Déclaration préalable à l'embauche (DPAE)	Contrôle administratifs			
2500	R1221-9	Contrat de travail	Embauche	Déclaration préalable à l'embauche (DPAE)	Documents à remettre au salarié			
2800	R1221-1; R1221-2; L1221-12-1	Contrat de travail	Embauche	Déclaration préalable à l'embauche (DPAE)	Mentions obligatoires			
2900	R1221-3; R1221-4; L1221-12-1	Contrat de travail	Embauche	Déclaration préalable à l'embauche (DPAE)	Organisme destinataire			
3000	R1221-7; R1221-8; L1221-12-1	Contrat de travail	Embauche	Déclaration préalable à l'embauche (DPAE)	Preuve de la Déclaration préalable à l'embauche (DPAE)			
2600	L1221-10	Contrat de travail	Embauche	Déclaration préalable à l'embauche (DPAE)	Principe			
2700	R1227-7; R1227-1; R1227-2	Contrat de travail	Embauche	Déclaration préalable à l'embauche (DPAE)	Pénal			
2610	L1221-11; L1221-12-1	Contrat de travail	Embauche	Déclaration préalable à l'embauche (DPAE)	Pénalité en cas de non respect			
2450	R1221-13	Contrat de travail	Embauche	Déclaration préalable à l'embauche (DPAE)	Sanctions administratives			
3100	R1221-5; R1221-6; L1221-12-1	Contrat de travail	Embauche	Déclaration préalable à l'embauche (DPAE)	Transmission			
2620	L1221-12-1	Contrat de travail	Embauche	Déclaration préalable à l'embauche (DPAE)	Transmission par voie électronique			
3200	R1221-16; R1221-17; R1221-18; D1221-18; D1221-19; R1221-14; R1221-15	Contrat de travail	Embauche	Déclaration unique d'embauche (DUE)	Déclaration unique d'embauche (DUE)			
3300	R1227-3	Contrat de travail	Embauche	Déclaration unique d'embauche (DUE)	Déclaration unique d'embauche (DUE) Pénal			
3800	L1221-7; L1221-9; L1221-6; L1221-8	Contrat de travail	Embauche	Recrutement				
3990	D1221-27; D8113-2; D8113-3; L2313-6	Contrat de travail	Embauche	Registre Unique du Personnel (RUP)	Accès au docuent de substitution			
3980	R1221-26	Contrat de travail	Embauche	Registre Unique du Personnel (RUP)	Conservation des données			
3910	L1221-14	Contrat de travail	Embauche	Registre Unique du Personnel (RUP)	Dérogation à la tenue du RUP			
3930	L1221-16	Contrat de travail	Embauche	Registre Unique du Personnel (RUP)	Formalités			
3940	D1221-23; L1221-13; D1221-25	Contrat de travail	Embauche	Registre Unique du Personnel (RUP)	Mentions nécessaires			
3900	L1221-13	Contrat de travail	Embauche	Registre Unique du Personnel (RUP)	Principe			
3970	D1221-24-1	Contrat de travail	Embauche	Registre Unique du Personnel (RUP)	Salaié détachés			
3960	D1221-24	Contrat de travail	Embauche	Registre Unique du Personnel (RUP)	Salariés étrangers			
4000	R1227-7	Contrat de travail	Embauche	Registre Unique du Personnel (RUP)	Sanction			
3950	D1221-23-1; L1221-13	Contrat de travail	Embauche	Registre Unique du Personnel (RUP)	Stagiaires			
3920	L1221-15	Contrat de travail	Embauche	Registre Unique du Personnel (RUP)	Tenue à disposition des délégués du personnel (DP), du comité économique et social (CSE), de l'Inspection du travail (IT), de l'URSSAF			
3500	D1221-28	Contrat de travail	Embauche	Relevé mensuel des contrats	Assujetissement aux entreprises de plus de cinquante salariés			
3530	D1221-31	Contrat de travail	Embauche	Relevé mensuel des contrats	Autre oblligation			
3520	D1221-30	Contrat de travail	Embauche	Relevé mensuel des contrats	Contenu			
3510	D1221-29	Contrat de travail	Embauche	Relevé mensuel des contrats	Principe			
3550	R1227-4	Contrat de travail	Embauche	Relevé mensuel des contrats	Pénalités			
3602	L1221-4; L1221-5	Contrat de travail	Généralités	Principes génériques du contrat	Interdictions			
3600	L1221-2; L1221-1	Contrat de travail	Généralités	Principes génériques du contrat	Principes			
3601	L1221-3; R1227-4	Contrat de travail	Généralités	Principes génériques du contrat	Un contrat écrit en français			
29300	D1226-1	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Absence pour maladie, accident	Indemnisation	Indemnité: Calcul		
29400	D1226-3	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Absence pour maladie, accident	Indemnisation	Indemnité: Date de début		
29500	D1226-2	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Absence pour maladie, accident	Indemnisation	Indemnité: Durée augmentée ancienneté		
29600	D1226-4	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Absence pour maladie, accident	Indemnisation	Indemnité: absences antérieures		
29700	D1226-8	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Absence pour maladie, accident	Indemnisation	Indemnité: calcul de l'ancienneté		
29800	D1226-5; D1226-6	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Absence pour maladie, accident	Indemnisation	Indemnité: déduction allocations Sécurité Sociale		
29900	D1226-7	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Absence pour maladie, accident	Indemnisation	Indemnité: salaire pris en considération		
29200	L1226-1	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Absence pour maladie, accident	Indemnisation	Indemnité complémentaire de salaire. Décret		
30000	L1226-1-1	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Absence pour maladie, accident	Suspension et formation			
27900	L1226-6	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle	Champ d'application			
28100	L1226-10	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle	Inaptitude			
28000	L1226-12	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle	Inaptitude: Procédure de licenciement			
28200	L1226-11	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle	Inaptitude: situation au delà d'un mois			
28500	L1226-15	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle	Indemnités, réintégration licenciement Irrégulier			
28600	L1226-16	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle	Indemnités: Calcul			
28300	L1226-14	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle	Indemnités de rupture			
28400	L1226-17	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle	Indemnités en cas de Redressement judiciaire (RJ), Liquidation judiciaire (LJ)			
28700	L1226-13	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle	Nullité de la rupture si Non- respect protection			
28800	L1226-9	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle	Protection de la rupture du contrat			
28900	L1226-8	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle	Reprise: conditions			
29000	L1226-7	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle	Suspension du contrat			
29100	R1226-9	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle	Transformation de poste, aide financière			
27400	L1226-20	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle en cas de Contrat à Durée Déterminée (CDD)	Absence de reclassement, Résolution judiciaire			
27500	L1226-21	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle en cas de Contrat à Durée Déterminée (CDD)	Aptitude et rupture du contrat			
27600	L1226-22	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle en cas de Contrat à Durée Déterminée (CDD)	En cas de Redressement judiciaire (RJ), Liquidation judiciaire (LJ)			
27700	L1226-19	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle en cas de Contrat à Durée Déterminée (CDD)	Fin du contrat, renouvellement			
27800	L1226-18	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Accident du travail (AT), Maladie professionnelle en cas de Contrat à Durée Déterminée (CDD)	Protection de la rupture du contrat			
30100	L1226-4	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Inaptitude suite maladie, accident non professionnel	Délai d'un mois			
30200	L1226-4-2; L1226-4-3	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Inaptitude suite maladie, accident non professionnel	Inaptitude et Contrat à Durée Déterminée (CDD)			
30300	L1226-4-1	Contrat de travail	Maladie, Accident du travail (AT), Inaptitude	Inaptitude suite maladie, accident non professionnel	Inaptitude suite maladie, accident non professionnel			
