thème niveau 1,thème niveau 2,thème niveau 3,thème niveau 4
4 | Emploi et formation,23 | Formation,88 | Dispositifs d'accès à la formation,224 | Validation des acquis de l'expérience (VAE)
4 | Emploi et formation,23 | Formation,89 | Congés et absences pour formation,225 | Bilan de compétence
4 | Emploi et formation,23 | Formation,89 | Congés et absences pour formation,226 | Projet de transition professionnelle (PTP)
4 | Emploi et formation,23 | Formation,89 | Congés et absences pour formation,227 | Congé de formation d'un conseiller prud'homal
4 | Emploi et formation,23 | Formation,89 | Congés et absences pour formation,228 | Congé de formation d'un représentant du personnel
4 | Emploi et formation,23 | Formation,89 | Congés et absences pour formation,229 | Congé de formation - Animateur ou cadre pour la jeunesse
4 | Emploi et formation,23 | Formation,89 | Congés et absences pour formation,"230 | Congé de formation économique, sociale et syndicale"
4 | Emploi et formation,23 | Formation,89 | Congés et absences pour formation,231 | Congé individuel de formation (CIF)
4 | Emploi et formation,23 | Formation,90 | Formation en alternance,232 | Apprentissage
4 | Emploi et formation,23 | Formation,90 | Formation en alternance,233 | Professionalisation
4 | Emploi et formation,23 | Formation,90 | Formation en alternance,234 | Reconversion ou promotion par alternance (Pro-A)
4 | Emploi et formation,23 | Formation,91 | Formation pour les demandeurs d'emploi,235 | La préparation opérationnelle à l’emploi collective (POEC)
4 | Emploi et formation,23 | Formation,91 | Formation pour les demandeurs d'emploi,236 | Périodes de mise en situation en milieu professionnel (PMSMP)
4 | Emploi et formation,23 | Formation,92 | Personnes en situation de handicap,237 | Stage de rééducation professionnelle
4 | Emploi et formation,23 | Formation,93 | La certification professionnelle,238 | Titres professionnels
4 | Emploi et formation,23 | Formation,93 | La certification professionnelle,239 | Certificat de qualificatoin professionnelle (CQP)
4 | Emploi et formation,23 | Formation,94 | Acteurs de la formation,240 | France compétences
4 | Emploi et formation,23 | Formation,94 | Acteurs de la formation,241 | Participation financière des entreprises
4 | Emploi et formation,23 | Formation,94 | Acteurs de la formation,242 | Organismes de formation
4 | Emploi et formation,23 | Formation,94 | Acteurs de la formation,243 | Opérateurs de compétences (OPCO)
4 | Emploi et formation,24 | Emploi,95 | Les structures d'insertion,244 | Associations intermédiaires (AI)
4 | Emploi et formation,24 | Emploi,95 | Les structures d'insertion,245 | Ateliers et chantiers d’insertion (ACI)
4 | Emploi et formation,24 | Emploi,95 | Les structures d'insertion,246 | Entreprises d’insertion (EI)
4 | Emploi et formation,24 | Emploi,95 | Les structures d'insertion,247 | Entreprises de travail temporaire d’insertion (ETTI)
4 | Emploi et formation,24 | Emploi,95 | Les structures d'insertion,248 | Fonds départemental d’insertion (FDI)
4 | Emploi et formation,24 | Emploi,95 | Les structures d'insertion,249 | Groupements d’employeurs pour l’insertion et la qualification (GEIQ)
4 | Emploi et formation,24 | Emploi,96 | Les contrats d'insertion,250 | Contrat unique d'insertion (CUI) - Parcours emploi compétences (PEC)
4 | Emploi et formation,24 | Emploi,96 | Les contrats d'insertion,251 | Emploi d'avenir
4 | Emploi et formation,24 | Emploi,96 | Les contrats d'insertion,252 | Étudiant apprenti professeur (EAP)
4 | Emploi et formation,24 | Emploi,96 | Les contrats d'insertion,253 | Contrat adultes-relais
4 | Emploi et formation,24 | Emploi,96 | Les contrats d'insertion,254 | CDD senior
4 | Emploi et formation,24 | Emploi,96 | Les contrats d'insertion,255 | Garantie jeunes
4 | Emploi et formation,24 | Emploi,97 | Les aides à l'emploi,256 | Aides à la création d'entreprise et appui aux entreprises
4 | Emploi et formation,24 | Emploi,97 | Les aides à l'emploi,257 | Aides au conseil et à la formation
4 | Emploi et formation,24 | Emploi,97 | Les aides à l'emploi,258 | Aides à la reconversion des salariés
4 | Emploi et formation,24 | Emploi,97 | Les aides à l'emploi,259 | Aides de Pole Emploi
4 | Emploi et formation,24 | Emploi,97 | Les aides à l'emploi,260 | Aide au maintien dans l'emploi
4 | Emploi et formation,24 | Emploi,97 | Les aides à l'emploi,261 | Prime d'activité
4 | Emploi et formation,24 | Emploi,97 | Les aides à l'emploi,262 | Emplois francs
4 | Emploi et formation,24 | Emploi,98 | Compte personnel d'activité (CPA),
4 | Emploi et formation,24 | Emploi,99 | Seniors,
4 | Emploi et formation,24 | Emploi,100 | Jeunes travailleurs,
4 | Emploi et formation,24 | Emploi,101 | Travailleurs handicapés,
4 | Emploi et formation,24 | Emploi,102 | Demandeurs d'emploi,
"5 | Santé, sécurité et conditions de travail",25 | Conditions de travail,103 | Lieu de travail,263 | Affichages obligatoires
"5 | Santé, sécurité et conditions de travail",25 | Conditions de travail,103 | Lieu de travail,"264 | Aération, assainissement, éclairage et ambiance thermique"
"5 | Santé, sécurité et conditions de travail",25 | Conditions de travail,103 | Lieu de travail,265 | Sécurité des lieux de travail
"5 | Santé, sécurité et conditions de travail",25 | Conditions de travail,103 | Lieu de travail,266 | Aménagement des postes de travail
"5 | Santé, sécurité et conditions de travail",25 | Conditions de travail,103 | Lieu de travail,"267 | Installations électriques, risques d'incendies, d'exposition et évacuation"
"5 | Santé, sécurité et conditions de travail",25 | Conditions de travail,103 | Lieu de travail,"268 | Installations sanitaires, restauration et hébergement"
"5 | Santé, sécurité et conditions de travail",25 | Conditions de travail,104 | Droit d'alerte et de retrait des salariés,
"5 | Santé, sécurité et conditions de travail",25 | Conditions de travail,105 | Equipements de travail et de protection,
"5 | Santé, sécurité et conditions de travail",25 | Conditions de travail,106 | Règlement intérieur d'une entreprise,
"5 | Santé, sécurité et conditions de travail",25 | Conditions de travail,107 | Télétravail,
"5 | Santé, sécurité et conditions de travail",25 | Conditions de travail,108 | Harcèlement,
"5 | Santé, sécurité et conditions de travail",25 | Conditions de travail,109 | Discrimination,
"5 | Santé, sécurité et conditions de travail",25 | Conditions de travail,110 | Egalité professionnelle,
"5 | Santé, sécurité et conditions de travail",25 | Conditions de travail,111 | Libertés du salarié,
"5 | Santé, sécurité et conditions de travail",26 | Risques professionnels et prévention,112 | Document unique d'évaluation des risques,
"5 | Santé, sécurité et conditions de travail",26 | Risques professionnels et prévention,113 | Obligations générales de prévention,
"5 | Santé, sécurité et conditions de travail",26 | Risques professionnels et prévention,114 | Compte professionnel de prévention (C2P),
"5 | Santé, sécurité et conditions de travail",26 | Risques professionnels et prévention,115 | Prévention de la pénibilité,
"5 | Santé, sécurité et conditions de travail",26 | Risques professionnels et prévention,116 | Risques professionnels,269 | Risques psychosociaux
"5 | Santé, sécurité et conditions de travail",26 | Risques professionnels et prévention,116 | Risques professionnels,"270 | Risques chimiques (amiante, CMR)"
"5 | Santé, sécurité et conditions de travail",26 | Risques professionnels et prévention,116 | Risques professionnels,271 | Risques biologiques
"5 | Santé, sécurité et conditions de travail",26 | Risques professionnels et prévention,116 | Risques professionnels,272 | Risques bruit
"5 | Santé, sécurité et conditions de travail",26 | Risques professionnels et prévention,116 | Risques professionnels,273 | Risques vibrations mécaniques
"5 | Santé, sécurité et conditions de travail",26 | Risques professionnels et prévention,116 | Risques professionnels,274 | Risques rayonnements
"5 | Santé, sécurité et conditions de travail",26 | Risques professionnels et prévention,116 | Risques professionnels,275 | Bâtiment et génie civil
"5 | Santé, sécurité et conditions de travail",26 | Risques professionnels et prévention,116 | Risques professionnels,276 | Manutention et écrans
"5 | Santé, sécurité et conditions de travail",26 | Risques professionnels et prévention,116 | Risques professionnels,277 | Autres risques
"5 | Santé, sécurité et conditions de travail",27 | Maladie,117 | Démarches à effectuer,
"5 | Santé, sécurité et conditions de travail",27 | Maladie,118 | Indemnités journalières versées au salarié,
"5 | Santé, sécurité et conditions de travail",27 | Maladie,119 | Reprise du travail,
"5 | Santé, sécurité et conditions de travail",28 | Accident du travail,120 | Démarches à effectuer,
"5 | Santé, sécurité et conditions de travail",28 | Accident du travail,121 | Indemnités journalières pendant l'arrêt de travail,
"5 | Santé, sécurité et conditions de travail",28 | Accident du travail,122 | Indemnisation en cas d'incapacité permanente,
"5 | Santé, sécurité et conditions de travail",28 | Accident du travail,123 | Reprise du travail,
"5 | Santé, sécurité et conditions de travail",29 | Maladie professionnelle,124 | Démarches à effectuer,
"5 | Santé, sécurité et conditions de travail",29 | Maladie professionnelle,125 | Indemnités journalières pendant l'arrêt de travail,
"5 | Santé, sécurité et conditions de travail",29 | Maladie professionnelle,126 | Indemnisation en cas d'incapacité permanente,
"5 | Santé, sécurité et conditions de travail",29 | Maladie professionnelle,127 | Reprise du travail,
"5 | Santé, sécurité et conditions de travail",30 | Inaptitude,128 | Avis d'inaptitude,
"5 | Santé, sécurité et conditions de travail",30 | Inaptitude,129 | Licenciement pour inaptitude,
"5 | Santé, sécurité et conditions de travail",30 | Inaptitude,130 | Inaptitude temporaire,
"5 | Santé, sécurité et conditions de travail",31 | Suivi médical des salariés,131 | Médecine du travail,
"5 | Santé, sécurité et conditions de travail",31 | Suivi médical des salariés,132 | Visite d'information et de prévention (visite médicale d'embauche),
"5 | Santé, sécurité et conditions de travail",31 | Suivi médical des salariés,133 | Suivi individuel renforcé,
"5 | Santé, sécurité et conditions de travail",31 | Suivi médical des salariés,134 | Suivi adapté à certains salariés,
"5 | Santé, sécurité et conditions de travail",31 | Suivi médical des salariés,135 | Visite médicale de reprise,
"5 | Santé, sécurité et conditions de travail",31 | Suivi médical des salariés,136 | Adaptations du poste,
"5 | Santé, sécurité et conditions de travail",31 | Suivi médical des salariés,137 | Autres visites et examens,
"5 | Santé, sécurité et conditions de travail",32 | Travailleurs et secteurs spécifiques,138 | Jeunes travailleurs,
"5 | Santé, sécurité et conditions de travail",32 | Travailleurs et secteurs spécifiques,139 | Femmes enceintes - Maternité,
"5 | Santé, sécurité et conditions de travail",32 | Travailleurs et secteurs spécifiques,140 | Travailleur à domicile,
"5 | Santé, sécurité et conditions de travail",32 | Travailleurs et secteurs spécifiques,141 | Handicap,278 | Travail en milieu ordinaire
"5 | Santé, sécurité et conditions de travail",32 | Travailleurs et secteurs spécifiques,142 | Handicap,279 | Travail en entreprise adaptée
"5 | Santé, sécurité et conditions de travail",32 | Travailleurs et secteurs spécifiques,142 | Handicap,280 | Travail en établissement et service d'aide par le travail (Ésat)
"5 | Santé, sécurité et conditions de travail",32 | Travailleurs et secteurs spécifiques,143 | Travailleur de nuit,281 | Principes généraux
"5 | Santé, sécurité et conditions de travail",32 | Travailleurs et secteurs spécifiques,143 | Travailleur de nuit,282 | Jeune de moins de 18 ans
"5 | Santé, sécurité et conditions de travail",32 | Travailleurs et secteurs spécifiques,143 | Travailleur de nuit,283 | Pour une salariée enceinte
6 | Représentation du personnel et négociation collective,33 | Représentation du personnel,144 | Comité social et économique (CSE),
6 | Représentation du personnel et négociation collective,33 | Représentation du personnel,145 | Comité d'entreprise (CE),
6 | Représentation du personnel et négociation collective,33 | Représentation du personnel,"146 | Comité d'hygiène, de sécurité et des conditions de travail (CHSCT)",
6 | Représentation du personnel et négociation collective,33 | Représentation du personnel,147 | Délégué du personnel (DP),
6 | Représentation du personnel et négociation collective,33 | Représentation du personnel,148 | Délégation unique du personnel (DUP),
6 | Représentation du personnel et négociation collective,33 | Représentation du personnel,149 | Représentant de proximité,
6 | Représentation du personnel et négociation collective,33 | Représentation du personnel,150 | Conseil d'entreprise,
6 | Représentation du personnel et négociation collective,34 | Les syndicats dans l'entreprise,152 | Section syndicale,
6 | Représentation du personnel et négociation collective,34 | Les syndicats dans l'entreprise,153 | Représentant de la section syndicale,
6 | Représentation du personnel et négociation collective,34 | Les syndicats dans l'entreprise,154 | Syndicats représentatifs dans l'entreprise,
6 | Représentation du personnel et négociation collective,34 | Les syndicats dans l'entreprise,155 | Le délégué syndical,
6 | Représentation du personnel et négociation collective,35 | Négociations dans l'entreprise,156 | Conditions de la négociation,
6 | Représentation du personnel et négociation collective,35 | Négociations dans l'entreprise,157 | Négociations obligatoires en entreprise,
6 | Représentation du personnel et négociation collective,35 | Négociations dans l'entreprise,158 | Accord de performance collective,
6 | Représentation du personnel et négociation collective,35 | Négociations dans l'entreprise,159 | Rupture conventionnelle collective,
6 | Représentation du personnel et négociation collective,36 | Négociations de branche,,
7 | Départ de l'entreprise,37 | Démission,,
7 | Départ de l'entreprise,38 | Fin d'un CDD - CTT,,
7 | Départ de l'entreprise,39 | Rupture conventionnelle,160 | Rupture conventionnelle individuelle,
7 | Départ de l'entreprise,39 | Rupture conventionnelle,161 | Rupture conventionnelle collective,
7 | Départ de l'entreprise,40 | Licenciement économique,162 | Procédure de licenciement économique individuel,
7 | Départ de l'entreprise,40 | Licenciement économique,163 | Procédure de licenciement économique collectif,
7 | Départ de l'entreprise,40 | Licenciement économique,164 | Le conseiller du salarié,
7 | Départ de l'entreprise,40 | Licenciement économique,165 | Plan de sauvegarde de l'emploi (PSE),
7 | Départ de l'entreprise,40 | Licenciement économique,166 | Contrat de sécurisation professionnelle (CSP),
7 | Départ de l'entreprise,40 | Licenciement économique,167 | Cellule de reclassement,
7 | Départ de l'entreprise,40 | Licenciement économique,168 | Allocations,
7 | Départ de l'entreprise,40 | Licenciement économique,169 | Congé de reclassement,
7 | Départ de l'entreprise,40 | Licenciement économique,170 | Congé de mobilité,
7 | Départ de l'entreprise,40 | Licenciement économique,171 | Congé de conversion,
7 | Départ de l'entreprise,40 | Licenciement économique,172 | Salariés protégés,
7 | Départ de l'entreprise,41 | Licenciement pour motif personnel,173 | Motifs du licenciement,
7 | Départ de l'entreprise,41 | Licenciement pour motif personnel,174 | Procédure de licenciement,
7 | Départ de l'entreprise,41 | Licenciement pour motif personnel,175 | Le conseiller du salarié,
7 | Départ de l'entreprise,41 | Licenciement pour motif personnel,176 | Préavis de licenciement,
7 | Départ de l'entreprise,41 | Licenciement pour motif personnel,"177 | Licenciement nul, injustifié ou irrégulier",
7 | Départ de l'entreprise,41 | Licenciement pour motif personnel,178 | Indemnité de licenciement,
7 | Départ de l'entreprise,41 | Licenciement pour motif personnel,179 | Indemnité compensatrice de préavis et de congés payés,
7 | Départ de l'entreprise,41 | Licenciement pour motif personnel,180 | Salariés protégés,
7 | Départ de l'entreprise,42 | Licenciement pour inaptitude,,
7 | Départ de l'entreprise,43 | Documents à remettre au salarié,181 | Certificat de travail,
7 | Départ de l'entreprise,43 | Documents à remettre au salarié,182 | Attestation destinée à Pôle emploi,
7 | Départ de l'entreprise,43 | Documents à remettre au salarié,183 | Solde de tout compte,
7 | Départ de l'entreprise,44 | Retraite,184 | Mise à la retraite,
7 | Départ de l'entreprise,44 | Retraite,185 | Départ volontaire à la retraite,
7 | Départ de l'entreprise,44 | Retraite,186 | Pré-retraite,
7 | Départ de l'entreprise,286 | Autres départs,187 | Prise d'acte et résiliation judiciaire,
7 | Départ de l'entreprise,286 | Autres départs,188 | Départ dans le cadre d'un accord de performance collective,
7 | Départ de l'entreprise,286 | Autres départs,189 | Abandon de poste,
8 | Conflits au travail et contrôle de la réglementation,45 | Grève,,
8 | Conflits au travail et contrôle de la réglementation,46 | Sanctions disciplinaires,,
8 | Conflits au travail et contrôle de la réglementation,47 | Inspection du travail,190 | Le rôle de l'inspection du travail,
8 | Conflits au travail et contrôle de la réglementation,47 | Inspection du travail,191 | Saisir l'inspection du travail,
8 | Conflits au travail et contrôle de la réglementation,48 | Le conseil des prud'hommes,192 | La procédure devant le conseil des prud'hommes,
8 | Conflits au travail et contrôle de la réglementation,48 | Le conseil des prud'hommes,193 | Le défenseur syndical,
8 | Conflits au travail et contrôle de la réglementation,48 | Le conseil des prud'hommes,194 | Saisir le conseil des prud'hommes,
8 | Conflits au travail et contrôle de la réglementation,49 | Travail illégal,,
